Distribución;Tamaño;Mejor OE;Peor OE;OE  Medio;Uso de Memoria (bytes)
ascendente;1.000;3.003.999,00;3.003.999,00;3.003.999,00;4.000,00
ascendente;2.000;12.007.999,00;12.007.999,00;12.007.999,00;8.000,00
ascendente;3.000;27.011.999,00;27.011.999,00;27.011.999,00;12.000,00
ascendente;4.000;48.015.999,00;48.015.999,00;48.015.999,00;16.000,00
ascendente;5.000;75.019.999,00;75.019.999,00;75.019.999,00;20.000,00
descendente;1.000;6.500.499,00;6.500.499,00;6.500.499,00;4.000,00
descendente;2.000;26.000.999,00;26.000.999,00;26.000.999,00;8.000,00
descendente;3.000;58.501.499,00;58.501.499,00;58.501.499,00;12.000,00
descendente;4.000;104.001.999,00;104.001.999,00;104.001.999,00;16.000,00
descendente;5.000;162.502.499,00;162.502.499,00;162.502.499,00;20.000,00
uniforme;1.000;4.681.808,00;4.790.490,00;4.750.445,80;4.000,00
uniforme;2.000;18.833.286,00;19.156.420,00;18.960.054,60;8.000,00
uniforme;3.000;42.511.091,00;42.911.701,00;42.670.125,40;12.000,00
uniforme;4.000;75.387.105,00;76.081.372,00;75.826.812,80;16.000,00
uniforme;5.000;117.525.651,00;118.889.874,00;118.314.496,40;20.000,00
gaussiana;1.000;4.674.101,00;4.786.878,00;4.728.932,00;4.000,00
gaussiana;2.000;18.833.951,00;19.134.888,00;18.914.102,40;8.000,00
gaussiana;3.000;42.386.624,00;42.824.537,00;42.535.092,60;12.000,00
gaussiana;4.000;75.207.891,00;76.200.946,00;75.593.644,20;16.000,00
gaussiana;5.000;117.392.469,00;118.624.266,00;118.123.746,40;20.000,00
