Semilla;Tamaño;Burbuja;Insercion;Ganador
12.345;1.000;0,03587630;0,01205080;-1
23.451;1.000;0,03290080;0,01078830;-1
34.521;1.000;0,03055370;0,01080610;-1
45.123;1.000;0,03541580;0,01800880;-1
12.345;2.000;0,15758230;0,05402420;-1
23.451;2.000;0,16900800;0,05639710;-1
34.521;2.000;0,16362580;0,05872680;-1
45.123;2.000;0,14713990;0,06066000;-1
12.345;3.000;0,37746520;0,11286490;-1
23.451;3.000;0,29697450;0,08624950;-1
34.521;3.000;0,25558290;0,09722200;-1
45.123;3.000;0,25149460;0,10765100;-1
12.345;4.000;0,46435470;0,15107190;-1
23.451;4.000;0,43186430;0,15655810;-1
34.521;4.000;0,41735920;0,15935590;-1
45.123;4.000;0,45240040;0,15081460;-1
12.345;5.000;0,65664120;0,23942200;-1
23.451;5.000;0,65813560;0,23772640;-1
34.521;5.000;0,66300310;0,24138620;-1
45.123;5.000;0,64059230;0,23607280;-1
