Distribución;Tamaño;Mejor OE;Peor OE;OE Medio;Uso de Memoria (bytes)
ascendente;500;10.483,00000000;10.483,00000000;10.483,00000000;2.000,00000000
ascendente;1.000;20.983,00000000;20.983,00000000;20.983,00000000;4.000,00000000
ascendente;1.500;31.483,00000000;31.483,00000000;31.483,00000000;6.000,00000000
ascendente;2.000;41.983,00000000;41.983,00000000;41.983,00000000;8.000,00000000
ascendente;2.500;52.483,00000000;52.483,00000000;52.483,00000000;10.000,00000000
descendente;500;13.483,00000000;13.483,00000000;13.483,00000000;2.000,00000000
descendente;1.000;26.983,00000000;26.983,00000000;26.983,00000000;4.000,00000000
descendente;1.500;40.483,00000000;40.483,00000000;40.483,00000000;6.000,00000000
descendente;2.000;53.983,00000000;53.983,00000000;53.983,00000000;8.000,00000000
descendente;2.500;67.483,00000000;67.483,00000000;67.483,00000000;10.000,00000000
uniforme;500;23.143,00000000;23.347,00000000;23.234,20000000;2.000,00000000
uniforme;1.000;48.643,00000000;49.807,00000000;48.957,40000000;4.000,00000000
uniforme;1.500;74.383,00000000;76.687,00000000;75.736,60000000;6.000,00000000
uniforme;2.000;102.103,00000000;105.295,00000000;103.737,40000000;8.000,00000000
uniforme;2.500;130.951,00000000;133.195,00000000;131.779,00000000;10.000,00000000
gaussiana;500;22.855,00000000;23.179,00000000;23.073,40000000;2.000,00000000
gaussiana;1.000;48.307,00000000;49.591,00000000;48.933,40000000;4.000,00000000
gaussiana;1.500;76.015,00000000;77.191,00000000;76.569,40000000;6.000,00000000
gaussiana;2.000;102.763,00000000;104.887,00000000;103.521,40000000;8.000,00000000
gaussiana;2.500;130.891,00000000;132.259,00000000;131.589,40000000;10.000,00000000
